"uuid","name","description","class","shortname","child.1","child.2","child.3","child.4","child.5","child.6","child.7","child.8","child.9","child.10","child.11","child.12","child.13","child.14","child.15","child.16","child.17","child.18","child.19","child.20","child.21","child.22","child.23","child.24","child.25","child.26","child.27","child.28","child.29","child.30","child.31","child.32","child.33","child.34","child.35","child.36","child.37","child.38","child.39","child.40","child.41","child.42","child.43","child.44","child.45","child.46","child.47","child.48","child.49","child.50","child.51","child.52","child.53","child.54","child.55","child.56","child.57","child.58","child.59","child.60","child.61","child.62","child.63","child.64","child.65","child.66","child.67","child.68","reference-term-source","reference-term-code","reference-term-relationship"
"f5c53fdb-e349-11e3-983a-91270dcbd3bf","Chief Complaint Data",,"Concept Details","Chief Complaint","Chief Complaint","Chief Complaint Duration","Non-Coded Chief Complaint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"3d4cbf52-9dab-4e55-8957-e9319fa603b8","Consultation Images",,"Misc",,"Image","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f5c4b6a0-e349-11e3-983a-91270dcbd3bf","History and Examination",,"Misc","History and Examination","Chief Complaint Data","Chief Complaint Notes","History","Examination","Taking Medications","Change in symptoms","OPD Summary, Treatment Plan","Consultation Images","Video Link","Lab Investigation Notes","Radiology Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f47713d2-e349-11e3-983a-91270dcbd3bf","Systolic Data",,"Concept Details","Systolic","Systolic","Systolic Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f479522f-e349-11e3-983a-91270dcbd3bf","Diastolic Data",,"Concept Details","Diastolic","Diastolic","Diastolic Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f4762e56-e349-11e3-983a-91270dcbd3bf","Blood Pressure",,"ConvSet","Blood Pressure","Systolic Data","Diastolic Data","Posture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f469bd37-e349-11e3-983a-91270dcbd3bf","Pulse Data",,"Concept Details","Pulse","Pulse","Pulse Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f481a57a-e349-11e3-983a-91270dcbd3bf","Temperature Data",,"Concept Details","Temperature","Temperature","Temperature Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f48400c3-e349-11e3-983a-91270dcbd3bf","RR Data",,"Concept Details","RR","RR","RR Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
"f48634c5-e349-11e3-983a-91270dcbd3bf","SPO2 Data",,"Concept Details","SPO2","SPO2","SPO2 Abnormal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,
