Form Name,Form UUID,Form Type,Concept Set (Section),Concept Set UUID,Concept Name,Concept UUID,Datatype,Class,Hierarchy Path
,,,,,0 Carries out all normal activity without restriction,71e216b0-448b-4716-893c-80490e73fb66,N/A,Misc,
,,,,,1 Month,b6dc2eaa-884a-443a-934d-3148c75fb2a0,N/A,Misc,
,,,,,1 Restricted but walks/does light work,cb8d768a-55f0-4e53-8f22-ad2a6fbab1c0,N/A,Misc,
,,,,,1 Week,f8362116-9d11-4d05-8947-a68ab5470c51,N/A,Misc,
,,,,,1+,8cfe4739-8765-49e4-ba4e-51b046e42d75,N/A,Misc,
,,,,,1.Almost certain your patient has active MTB,5417466f-af53-4c2e-823a-6502b22f5d72,N/A,Misc,
,,,,,"1.Belief of special / supernatural power, knowledge, identity etc.",aa19f6db-e4a1-418b-9c6f-b98db18d9467,N/A,Misc,
,,,,,1.Loss of control over amount consumed,fa7a2134-bc5f-4b32-be26-586c3880172e,N/A,Misc,
,,,,,1.MRM with Axillary Lymph Node Dissection,ba025b70-4b02-47a6-b803-f42ae3a9d368,N/A,Misc,
,,,,,1.Muscle tension or aches and pains.,833563d7-d238-42a8-93f4-1587eb51f477,N/A,Misc,
,,,,,1.Neglect of responsibilities / activities,1ff93ae0-814f-4d26-bf74-483a1e0003a6,N/A,Misc,
,,,,,1.Other Invasive Carcinoma (Specify),7ebb7471-775d-4813-87e1-400ba08d86fb,N/A,Misc,
,,,,,"1.Pain in the limbs, extremities or joints",70dbb73b-da3d-4648-b5c4-7c79efb2a02b,N/A,Misc,
,,,,,1.Recognises symptoms but denies any illness,eab10ff7-5c5a-45cd-9373-8bfecad1106a,N/A,Misc,
,,,,,1.Worries/preoccupation with having a serious illness,c1ee2127-1837-4973-acd8-c1b18405c4d7,N/A,Misc,
,,,,,10 Month,64348ede-0886-4532-b7f8-33f68b36e9c9,N/A,Misc,
,,,,,100,c4a617ea-6dd8-4dc6-99e4-971af053cd0b,N/A,Misc,
,,,,,11 Month,ac1fd3e2-8595-42a1-8c19-34a3cc4ca50c,N/A,Misc,
,,,,,12 Month,faef1600-56a9-4fc8-a968-257487538951,N/A,Misc,
,,,,,12RZFqE,496e01bc-a1a7-48a0-b9a2-3c9f3d84a7dd,N/A,Misc,
,,,,,15,ba11017b-16a5-4544-b747-4cfb6edf3f4b,N/A,Misc,
,,,,,2 .Craving/persistent desire to consume,c4f871e9-1bf7-4d00-a798-c9ef367fa5aa,N/A,Misc,
,,,,,"2 .Fear of losing control, going crazy, or dying",fcdaab4d-e021-4e56-ba8c-f74ecd5d3d6e,N/A,Misc,
,,,,,2 .Feelings of hopelessness or worthlessness,77ded3ce-b9f4-4a5b-8865-fdd49553ae7f,N/A,Misc,
,,,,,2 .Recognises a mental illness (and willing to take treatment),00c0756c-1da2-4fb2-8437-39b00dad2d89,N/A,Misc,
,,,,,2 .Unusual or copious vaginal discharge,b3c547a1-df4d-4155-b4a1-e9541328aa6b,N/A,Misc,
,,,,,2 Month,ab68df15-7fd1-4f06-9d43-5d912eab4a7e,N/A,Misc,
,,,,,"2 Walks, full self-care but no work. Up and about >50% of the time",965330f6-2a31-4263-b4c9-611a5ea44191,N/A,Misc,
,,,,,2+,207e199d-0e61-462c-bcf1-ddb6a985e9eb,N/A,Misc,
,,,,,2-3 Days,47d9df4c-7000-4eb1-ba86-66ea40568998,N/A,Misc,
,,,,,2.Confident that your patient has active MTB,cd260498-9f3c-42ec-9c4b-5da044cbc0b0,N/A,Misc,
,,,,,200,07161a3e-f094-406c-9630-eb7113686664,N/A,Misc,
,,,,,250,0197fe2b-e457-4e26-a04f-37f3d7ff118a,N/A,Misc,
,,,,,26-30 Days,c4327ac9-a88e-4750-a6fa-009e13e92490,N/A,Misc,
,,,,,"2D Exam, Moderately Reduced",7cebb4c3-fe0b-4e0f-b86c-2d25d23f3e8c,N/A,Misc,
,,,,,2HRZE + 4HR,514ca5ba-3756-4a96-8407-84628ac95848,N/A,Misc,
,,,,,"3 Limited self-care, confined to bed or chair for greater than 50% waking hours",f8aa7b8a-9d58-433b-aecf-628aa0934184,N/A,Misc,
,,,,,3 Month,12c73368-ae7d-475c-a3ab-abf6f1de9193,N/A,Misc,
,,,,,3 Years,8916aefb-93b2-48de-864f-b2783599921f,N/A,Misc,
,,,,,3+,0b1d1849-ce4a-454e-8c73-0e95c3dd0c93,N/A,Misc,
,,,,,"3.Abdominal symptoms (Nausea, abdominal distress)",de67afed-5d97-4105-8742-d29a45b8f412,N/A,Misc,
,,,,,3.Decreased energy/easily fatigued,801b96ca-e4cd-4bac-90ca-15a4926471a5,N/A,Misc,
,,,,,3.Not confident that your patient has MTB,d3bfde0d-9638-430e-a13d-31d591e692a7,N/A,Misc,
,,,,,3.Progressive Increase in amount required,743e0a60-3dee-43b1-b55f-b7d86e3e1e11,N/A,Misc,
