concept,conceptuuid,conceptanswer,conceptansweruuid
Type of abortion,cb23a7f2-8746-402d-88b7-013a70e01e2b,Spontaneous,6ab2c198-f868-43bd-8905-91d726ce30ed
Type of abortion,cb23a7f2-8746-402d-88b7-013a70e01e2b,Medical,ff41bf93-a1de-4113-bc3a-87c6d7a3a183
Type of abortion,cb23a7f2-8746-402d-88b7-013a70e01e2b,Surgical,db996f72-b138-43de-bd67-9db95517ab46
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,JSS Ganiyari hospital,b03ca67b-390c-4223-9084-577ac737100a
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Private hospital,05d34f29-d6fa-4cc2-bc33-32bfaf2fc140
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Home,1a4f9d04-3dfd-4851-8dfa-62a83f6cf169
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Primary Health Center,a9b35608-e850-4414-b3e9-c3f9b306c17e
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,District Hospital,602e1362-0c44-49d8-ac94-42a741c6273b
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Community Health Centre,9699d4fd-a67f-4f45-8d3c-df491f27db60
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Medical college,3ab10f93-7267-4469-b81d-1f3d6c6bdc99
Place of Abortion,16e2956e-1265-4e2c-b4ef-eb7568b5c69d,Sub Center- Govt,92ef8513-ef65-49c0-9bd2-a284f7656b52
Abortion done by,68740322-f381-4de6-9e06-ad9f93e81f93,Jholachap doctor,dab3f3f6-abed-4426-aced-e016fa5b1354
Abortion done by,68740322-f381-4de6-9e06-ad9f93e81f93,Traditional healer,d5971814-12e3-4cdb-89a0-092ee1f49ca7
Abortion done by,68740322-f381-4de6-9e06-ad9f93e81f93,Doctor,d7265308-9843-4d5f-859f-1585c119c8cb
Abortion done by,68740322-f381-4de6-9e06-ad9f93e81f93,Self medication,56341359-3529-41e6-bf14-7ead4cc9f812
Abortion done by,68740322-f381-4de6-9e06-ad9f93e81f93,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
"If self medication, where did woman get the medicine from",e1dab606-f18e-4007-940a-5df6f48af91a,Medical shop,383250b3-86e5-4eac-a39b-cfe39b00efca
"If self medication, where did woman get the medicine from",e1dab606-f18e-4007-940a-5df6f48af91a,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
"If self medication, where did woman get the medicine from",e1dab606-f18e-4007-940a-5df6f48af91a,Jholachap doctor,dab3f3f6-abed-4426-aced-e016fa5b1354
"If self medication, where did woman get the medicine from",e1dab606-f18e-4007-940a-5df6f48af91a,Hospital/Dispensary (govt./Pvt.),9fd5b84a-f414-4a16-b1e4-e138f4f39d6d
Complication due to abortion,3fc12cff-0b61-45f5-af60-93b0f19570da,Bleeding,0aeb893c-34ba-49f0-bd6f-0696fce74458
Complication due to abortion,3fc12cff-0b61-45f5-af60-93b0f19570da,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Complication due to abortion,3fc12cff-0b61-45f5-af60-93b0f19570da,Sepsis,d4d85e62-247e-4725-8e85-fdcbcdf2d409
Complication due to abortion,3fc12cff-0b61-45f5-af60-93b0f19570da,Damage to Uterus,e786372e-78c9-47aa-ae66-3ef2a62ac2b7
Complication due to abortion,3fc12cff-0b61-45f5-af60-93b0f19570da,Damage to cervix,420c57e3-4ddd-4109-b229-7918092ad3e3
Complication due to abortion,3fc12cff-0b61-45f5-af60-93b0f19570da,No complication,437a93db-4faf-4506-bd20-70f1b03b80da
Does woman require referral?,77d122e8-0620-4754-8375-b0cbe329003c,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Does woman require referral?,77d122e8-0620-4754-8375-b0cbe329003c,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Does woman require referral?,77d122e8-0620-4754-8375-b0cbe329003c,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Does woman require referral?,77d122e8-0620-4754-8375-b0cbe329003c,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Community Health Centre,9699d4fd-a67f-4f45-8d3c-df491f27db60
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,SHW,7ac0d9a2-ff82-41e6-9f38-134904d476f9
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Medical college,3ab10f93-7267-4469-b81d-1f3d6c6bdc99
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Ganiyari,41f067f3-48a0-4f95-aee5-dcee95a8b9de
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Sub Center,31a0f7f1-7b23-4436-ae0a-0a982c11077c
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,District Hospital,602e1362-0c44-49d8-ac94-42a741c6273b
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,VHW,355143bf-b812-4ec8-93e6-6795fe4f7dc9
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Admission at Referral centre,dad7f494-99ec-42ce-b50b-07a7450be30c
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Seizure,cbc1b5b1-e4f9-4c0e-abe6-cc03362ff08d
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,infec,8293fa19-4fd6-4942-bc93-032bc3d39e68
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Sonography,1a893a89-4984-43e1-85cc-b64fb582824c
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Bleeding,0aeb893c-34ba-49f0-bd6f-0696fce74458
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Consultation with specialist at referral centre,f1ecf77c-122f-4462-8bc8-812013c80fa3
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Delivery/LACS,7d0d495a-e733-4ea8-93ca-c57bf42c6ee9
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Infection,e668ceed-92ee-4b2f-8714-72838f11264b
Referral reason,8a56f008-a910-4d6f-b028-a95db330dbf2,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,District Hospital,602e1362-0c44-49d8-ac94-42a741c6273b
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Ganiyari,41f067f3-48a0-4f95-aee5-dcee95a8b9de
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Medical college,3ab10f93-7267-4469-b81d-1f3d6c6bdc99
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,SHW,7ac0d9a2-ff82-41e6-9f38-134904d476f9
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Community Health Centre,9699d4fd-a67f-4f45-8d3c-df491f27db60
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Sub Center,31a0f7f1-7b23-4436-ae0a-0a982c11077c
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,VHW,355143bf-b812-4ec8-93e6-6795fe4f7dc9
Is there foul smelling discharge PV,7764a974-7ba8-4a13-9ba9-6d8d580f3c99,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Is there foul smelling discharge PV,7764a974-7ba8-4a13-9ba9-6d8d580f3c99,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Does mother has seizures?,74c618b3-a4e0-4382-9486-70dbf5752d9d,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Does mother has seizures?,74c618b3-a4e0-4382-9486-70dbf5752d9d,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
"Does mother has any breast related issue like swelling, cracked nipple etc?",43567d78-ad97-46bc-afa1-8522ec9e0180,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
"Does mother has any breast related issue like swelling, cracked nipple etc?",43567d78-ad97-46bc-afa1-8522ec9e0180,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Did mother die?,49cdf65a-a0a8-40f4-b5a6-55c405038891,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Did mother die?,49cdf65a-a0a8-40f4-b5a6-55c405038891,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Referral needed to mother?,c75a610f-27c3-4fad-9c26-04887c15436e,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Referral needed to mother?,c75a610f-27c3-4fad-9c26-04887c15436e,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Does woman require referral?,77d122e8-0620-4754-8375-b0cbe329003c,Yes,57e20de7-10de-4391-b7ce-87b2f40d19a2
Does woman require referral?,77d122e8-0620-4754-8375-b0cbe329003c,No,f88da2e8-6ab4-44b5-b762-233485cd25f9
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,District Hospital,602e1362-0c44-49d8-ac94-42a741c6273b
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Ganiyari,41f067f3-48a0-4f95-aee5-dcee95a8b9de
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,SHW,7ac0d9a2-ff82-41e6-9f38-134904d476f9
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Medical college,3ab10f93-7267-4469-b81d-1f3d6c6bdc99
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Community Health Centre,9699d4fd-a67f-4f45-8d3c-df491f27db60
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Sub Center,31a0f7f1-7b23-4436-ae0a-0a982c11077c
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,VHW,355143bf-b812-4ec8-93e6-6795fe4f7dc9
Place of referral,80fccb06-a62f-43e8-92eb-358bdb600079,Other,798b7942-cf58-4d4e-a529-5972942e0a7e
