formname,formuuid,formelementgroup,formelementgroupuuid,M  FormElement,concept,datatype,conceptuuid
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Date and time of abortion,Date and time of abortion,DateTime,6cff2f40-fd04-48e1-89d8-497142e20d4d
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Type of abortion,Type of abortion,Coded,cb23a7f2-8746-402d-88b7-013a70e01e2b
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Type of abortion,Type of abortion,Coded,cb23a7f2-8746-402d-88b7-013a70e01e2b
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Type of abortion,Type of abortion,Coded,cb23a7f2-8746-402d-88b7-013a70e01e2b
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Place of Abortion,Place of Abortion,Coded,16e2956e-1265-4e2c-b4ef-eb7568b5c69d
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Place of Abortion,Place of Abortion,Coded,16e2956e-1265-4e2c-b4ef-eb7568b5c69d
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Place of Abortion,Place of Abortion,Coded,16e2956e-1265-4e2c-b4ef-eb7568b5c69d
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Place of Abortion,Place of Abortion,Coded,16e2956e-1265-4e2c-b4ef-eb7568b5c69d
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Place of Abortion,Place of Abortion,Coded,16e2956e-1265-4e2c-b4ef-eb7568b5c69d
Abortion,73107501-f22f-4ac8-a65a-fc0bd99d17ba,Details,5563d18e-a3a0-4d59-9d68-a9379169a814,Place of Abortion,Place of Abortion,Coded,16e2956e-1265-4e2c-b4ef-eb7568b5c69d
