uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
73107501-f22f-4ac8-a65a-fc0bd99d17ba,Abortion,Abortion form,ConvSet,Abortion,N/A,,,,,,,,,,,
e38e9e5a-ebad-473c-920a-f308a940b0c5,Abortion Followup,Abortion Followup form,ConvSet,Abortion Followup,N/A,,,,,,,,,,,
6ca17f07-781c-4161-94ed-bb571218322b,Albendazole Tracking,Albendazole Tracking form,ConvSet,Albendazole Tracking,N/A,,,,,,,,,,,
991876fd-3297-4e5b-b8f8-2b02ffed4bb5,ANC Clinic Visit,ANC Clinic Visit form,ConvSet,ANC Clinic Visit,N/A,,,,,,,,,,,
1efe2934-cf50-4567-8ff6-7bde5ab7d14e,ANC Home Visit,ANC Home Visit form,ConvSet,ANC Home Visit,N/A,,,,,,,,,,,
d785f701-fbf7-4ee3-b724-09b4b9af2d37,Anthropometry Assessment,Anthropometry Assessment form,ConvSet,Anthropometry Assessment,N/A,,,,,,,,,,,
648ee6a7-7a66-4c3c-be04-471382d1b228,Arthritis Enrolment,Arthritis Enrolment form,ConvSet,Arthritis Enrolment,N/A,,,,,,,,,,,
d6b4ab59-cfdb-4d4e-af12-ee63a5ac7014,Asthma Enrolment,Asthma Enrolment form,ConvSet,Asthma Enrolment,N/A,,,,,,,,,,,
68ae820c-0141-475f-89ee-a023849e76bb,Birth form,Birth form form,ConvSet,Birth form,N/A,,,,,,,,,,,
7ce27568-d7b5-451c-8d1c-3619bb0d9e3e,Cancer Enrolment,Cancer Enrolment form,ConvSet,Cancer Enrolment,N/A,,,,,,,,,,,
bd8396ce-ab32-4ff4-9fc8-e2dc7effd3d6,CBNAAT Result Form,CBNAAT Result Form form,ConvSet,CBNAAT Result Form,N/A,,,,,,,,,,,
f02c318b-9396-43b2-85cf-b9f723180840,Child Birth Form,Child Birth Form form,ConvSet,Child Birth Form,N/A,,,,,,,,,,,
854b221a-aa9f-431e-89be-9b65f7e6727d,Child Enrolment,Child Enrolment form,ConvSet,Child Enrolment,N/A,,,,,,,,,,,
14585999-3bd3-47cd-998c-fa7f3e3f9252,Child Enrolment Phulwari,Child Enrolment Phulwari form,ConvSet,Child Enrolment Phulwari,N/A,,,,,,,,,,,
e1095d66-6e80-4386-b6a6-6d392b9123a3,Clinic Lab Result,Clinic Lab Result form,ConvSet,Clinic Lab Result,N/A,,,,,,,,,,,
abc02111-be61-40e7-936f-53de464ff538,COPD Enrolment,COPD Enrolment form,ConvSet,COPD Enrolment,N/A,,,,,,,,,,,
576db498-819e-40a2-ae9c-0a0a7aef3e02,Death,Death form,ConvSet,Death,N/A,,,,,,,,,,,
78b9a321-0773-408c-ba15-ef5bff944771,Delivery,Delivery form,ConvSet,Delivery,N/A,,,,,,,,,,,
b572ea7f-38f3-4e7f-83de-0fce3711dc56,Diabetes Enrolment,Diabetes Enrolment form,ConvSet,Diabetes Enrolment,N/A,,,,,,,,,,,
7182bd8f-006a-49e4-ba2b-0996f4da1df4,Diabetes Followup,Diabetes Followup form,ConvSet,Diabetes Followup,N/A,,,,,,,,,,,
832d6fe9-a6b6-4c1e-92ed-e72d786eaddd,Diabetes lab test,Diabetes lab test form,ConvSet,Diabetes lab test,N/A,,,,,,,,,,,
33312d95-12ad-47ec-b0c9-2b06786e4948,Eligible Couple Follow-up Encounter,Eligible Couple Follow-up Encounter form,ConvSet,Eligible Couple Follow-up Encounter,N/A,,,,,,,,,,,
bcdb57b0-eb4a-43b8-bc8b-8aba68238a91,Epilepsy Enrolment,Epilepsy Enrolment form,ConvSet,Epilepsy Enrolment,N/A,,,,,,,,,,,
