uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
4b23dc0e-3ae0-4d41-8546-35797063e123,Avni - JSS Registration Form,Avni Registration Form from field,ConvSet,Avni - JSS Registration Form,N/A,,,,,,,,,,,
2be450be-35db-47a6-a85e-5f1feb6f44cf,Avni - Personal Details,Personal Details Section,ConvSet,Avni - Personal Details,N/A,,,,,,,,,,,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Avni - Individual Information,Individual Information Section,ConvSet,Avni - Individual Information,N/A,,,,,,,,,,,
b2c3d4e5-f6a7-8901-bcde-f12345678901,Avni - Socio-Economic Details,Socio-Economic Details Section,ConvSet,Avni - Socio-Economic Details,N/A,,,,,,,,,,,
821ba930-505c-4fd3-9f24-66b60ed45bac,Avni - Birth Order,,Misc,Avni - Birth Order,Numeric,,,,,,,,,,,
9e6983b8-06ef-4648-b360-6684100b1be1,Avni - Father's Name,,Misc,Avni - Father's Name,Text,,,,,,,,,,,
bf564151-63f9-4176-917f-f37de34b9bae,Avni - Father's Occupation,,Misc,Avni - Father's Occupation,Coded,,,,,,,,,,,
74a554d8-5b87-4d27-9ae5-272ab326608f,Avni - Mother's Name,,Misc,Avni - Mother's Name,Text,,,,,,,,,,,
ea760e4f-c12f-490b-9865-9c6e4510ce64,Avni - Mother's Occupation,,Misc,Avni - Mother's Occupation,Coded,,,,,,,,,,,
b1001c4d-0449-464a-947f-a04c4fdcc651,Avni - Father's Education Level,,Misc,Avni - Father's Education Level,Coded,,,,,,,,,,,
d98aae1a-ce33-4e51-b031-66e13bc0ba11,Avni - Mother's Education Level,,Misc,Avni - Mother's Education Level,Coded,,,,,,,,,,,
9ad4b520-4e33-4b1b-a056-37ae6418988f,Avni - Caste Category,,Misc,Avni - Caste Category,Coded,,,,,,,,,,,
047877ac-dba7-4acf-8c77-97c979c2fc26,Avni - Sub Caste,,Misc,Avni - Sub Caste,Coded,,,,,,,,,,,
ae7d54e9-fac0-4898-b334-87664bd055d2,Avni - Other Sub Caste,,Misc,Avni - Other Sub Caste,Text,,,,,,,,,,,
b2c60cb8-983c-4e0e-a90d-4b21e87e10bd,Avni - Religion,,Misc,Avni - Religion,Coded,,,,,,,,,,,
681fce2b-ea38-4651-a0b8-2cddd307ade7,Avni - Aadhaar ID,,Misc,Avni - Aadhaar ID,Numeric,,,,,,,,,,,
0a725832-b21c-4151-b017-7e6af770ba54,Avni - Contact Number,,Misc,Avni - Contact Number,Text,,,,,,,,,,,
9d958124-09bb-466c-a4b4-db8d285def1f,Avni - Date of Marriage,,Misc,Avni - Date of Marriage,Date,,,,,,,,,,,
673d65bd-6dc4-4aac-8e1e-1ee355ac081b,Avni - Education,,Misc,Avni - Education,Coded,,,,,,,,,,,
20ef261a-f110-4eaa-a592-2a1eeb0bf061,Avni - Occupation,,Misc,Avni - Occupation,Coded,,,,,,,,,,,
4c429211-634e-4c2b-9a31-3f0a395f8f8d,Avni - Other Occupation,,Misc,Avni - Other Occupation,Text,,,,,,,,,,,
9e995ea6-a5f7-410f-adc2-2d2ce6d5e19b,Avni - Marital Status,,Misc,Avni - Marital Status,Coded,,,,,,,,,,,
ecdf3c54-2808-494d-87be-8fb744d5c3bc,Avni - Father/Husband's Name,,Misc,Avni - Father/Husband's Name,Text,,,,,,,,,,,
de490ab6-5c24-4de5-9f95-fe78be1b0c11,Avni - First Name (Hindi),,Misc,Avni - First Name (Hindi),Text,,,,,,,,,,,
9131372e-6e9b-4d07-b088-d7e961c61f76,Avni - Last Name (Hindi),,Misc,Avni - Last Name (Hindi),Text,,,,,,,,,,,
8033840e-a347-474d-a6ad-861ebffcec00,Avni - Individual Id,,Misc,Avni - Individual Id,Text,,,,,,,,,,,
eaee156e-8ef3-4148-a80c-a466cd059ae3,Avni - Relation to Head of Household,,Misc,Avni - Relation to Head,Coded,,,,,,,,,,,
bab107f6-fc0e-4be7-ab71-658a92d72f35,Avni - Whether Any Disability,,Misc,Avni - Whether Disability,Coded,,,,,,,,,,,
7061c675-c2ba-4016-886d-eeb432548378,Avni - Type of Disability,,Misc,Avni - Type Disability,Coded,,,,,,,,,,,
d333f2a2-717e-478f-acbc-173bc7374d66,Avni - Status of Individual,,Misc,Avni - Status Individual,Coded,,,,,,,,,,,
e23ef639-5d54-46bc-811c-ee1886bce81f,Avni - Electricity in House,,Misc,Avni - Electricity,Coded,,,,,,,,,,,
2a445ac8-56e7-4eda-8756-0a9c4fa9a77b,Avni - Smart Card (Insurance),,Misc,Avni - Smart Card,Coded,,,,,,,,,,,
852f4e54-4969-4724-94e0-cddef0ac1f66,Avni - Is Sterilization Done,,Misc,Avni - Is Sterilization,Coded,,,,,,,,,,,
1c710642-4f37-4f47-9df9-393127eaafc9,Avni - Non Programme Village Name,,Misc,Avni - Non Prog Village,Text,,,,,,,,,,,
86fc3018-8eeb-4a58-a9d9-a40fff839305,Avni - Ration Card,,Misc,Avni - Ration Card,Coded,,,,,,,,,,,
b984ad33-05d8-4621-adf3-152e72a0db1b,Avni - Land Possession,,Misc,Avni - Land Possession,Coded,,,,,,,,,,,
430ebb19-831d-470d-80eb-7969814f13e4,Avni - Land Area,,Misc,Avni - Land Area,Numeric,,,,,,,,,,,
aa88dba4-4f5d-4d35-9dc1-2390969cc5f3,Avni - Property,,Misc,Avni - Property,Coded,,,,,,,,,,,
32609e0f-f3c8-4dcb-af7c-5e8a96e8e89d,Avni - Other Property,,Misc,Avni - Other Property,Text,,,,,,,,,,,
c5d2673b-0f5c-48bf-93e4-f1a1ae820732,Avni - Type of Residence,,Misc,Avni - Type Residence,Coded,,,,,,,,,,,
57e20de7-10de-4391-b7ce-87b2f40d19a2,Avni - Yes,,Misc,Avni - Yes,N/A,,,,,,,,,,,
f88da2e8-6ab4-44b5-b762-233485cd25f9,Avni - No,,Misc,Avni - No,N/A,,,,,,,,,,,
1e24aee4-fb61-4d60-b61a-cdde17e4545f,Avni - Business,,Misc,Avni - Business,N/A,,,,,,,,,,,
c483c8de-1e93-40e7-9e9a-dbe1c7e705a1,Avni - Don't Know,,Misc,Avni - Don't Know,N/A,,,,,,,,,,,
d06f8595-d126-4b6b-8305-ef7633892d75,Avni - Farming,,Misc,Avni - Farming,N/A,,,,,,,,,,,
27f77972-71d6-466c-94a3-214b4b4a23f6,Avni - Job,,Misc,Avni - Job,N/A,,,,,,,,,,,
8ee4ddf3-34a4-4ec7-ac47-08498e8ef4a8,Avni - Labour,,Misc,Avni - Labour,N/A,,,,,,,,,,,
798b7942-cf58-4d4e-a529-5972942e0a7e,Avni - Other,,Misc,Avni - Other,N/A,,,,,,,,,,,
d7d45e44-8ce9-42d4-a98e-78d11c58d899,Avni - Housework,,Misc,Avni - Housework,N/A,,,,,,,,,,,
9b3a3dca-b93a-4b67-975f-5f6f1a815cea,Avni - General,,Misc,Avni - General,N/A,,,,,,,,,,,
8aa7b5ea-5d35-4a08-af33-0345af903e2f,Avni - OBC,,Misc,Avni - OBC,N/A,,,,,,,,,,,
0b78a94a-c652-4d59-ad16-c9138db05e29,Avni - SC,,Misc,Avni - SC,N/A,,,,,,,,,,,
8d1c99b2-fbed-4407-9f6a-040b9a5731b2,Avni - ST,,Misc,Avni - ST,N/A,,,,,,,,,,,
a1a0ecc3-2a85-43c4-b75a-3544a1ada0bf,Avni - Christian,,Misc,Avni - Christian,N/A,,,,,,,,,,,
6dbd4a89-d040-4ed3-bf1d-23bafdb1553e,Avni - Hindu,,Misc,Avni - Hindu,N/A,,,,,,,,,,,
e8bb7929-2357-49ff-8c98-28b338f2c6d8,Avni - Jain,,Misc,Avni - Jain,N/A,,,,,,,,,,,
fd46c9f7-783a-4cc0-b6b3-489aeb28f26c,Avni - Muslim,,Misc,Avni - Muslim,N/A,,,,,,,,,,,
2f6e7ba7-15dc-4af3-b4d7-e971e6733525,Avni - Sikh,,Misc,Avni - Sikh,N/A,,,,,,,,,,,
ba48e389-23df-43e4-89a6-85f392d4312e,Avni - Currently Married,,Misc,Avni - Currently Married,N/A,,,,,,,,,,,
1bc8befa-49b7-4a70-8203-8ec5d0660783,Avni - Divorced,,Misc,Avni - Divorced,N/A,,,,,,,,,,,
c219f819-db31-4a13-a895-fe67155e284b,Avni - Remarried,,Misc,Avni - Remarried,N/A,,,,,,,,,,,
